corruption,n_videos,mean_LL,std_LL,mean_LH,std_LH,mean_HL,std_HL,mean_HH,std_HH,prop_LL,prop_LH,prop_HL,prop_HH
contrast,100,2.4896947643885676,1.093014173751813,0.0002672778057644339,0.00019841797151613406,0.00013642565220093014,0.00010541684708914076,1.4474322608155146e-05,2.371021471410062e-05,0.9998181430216991,0.00012003036619377558,5.665389209887406e-05,5.172720008392071e-06
defocus,100,3.5822884974300244,1.2194257128323804,0.0021397910557949752,0.0011302930673717738,0.0016543866380793288,0.0006874427205942245,1.4138531657678125e-05,3.4174192814848057e-06,0.9988675842363343,0.000630311030207982,0.0004978148914719211,4.2898419859144645e-06
gauss,100,3.490082901617862,0.875772321205405,0.056138184108207846,0.00822274363763082,0.05091386299361945,0.008177092429513928,0.04270286445572628,0.004830578352122698,0.9572341728135726,0.015958473851830433,0.014513221688824702,0.012294131645772484
h265_abr,100,3.812993897448883,1.2546884561390121,0.025043273433015236,0.019506920853541963,0.011317176188484279,0.007492363230014465,0.001216071703911048,0.001698544392231198,0.9902633190574073,0.006528009604982848,0.0029221478756396558,0.0002865234619702043
impulse,100,3.503499567906289,0.8573502638466294,0.058804227145314414,0.01076896870430723,0.054147104880171326,0.006143017176886691,0.04607020103824613,0.0028702037919527503,0.9548044421339473,0.01663660477050956,0.015369131474016758,0.013189821621526054
jpeg,100,3.7123542071957503,1.2264300983544578,0.02567053128494534,0.017714953980590593,0.014809896933579552,0.011451866503560018,0.0018019401146934769,0.002890163908610909,0.9889878073827293,0.0067292640066347565,0.0038596683717408648,0.0004232602388950306
motion,100,3.4423533715393178,1.3051927473103107,0.005697868907513822,0.003041378072999076,0.0015621173485328272,0.0006317658063498586,0.00012605795485652187,0.00013321718286965777,0.9778253594951789,0.001665300641850802,0.00047492547305472214,3.441438991566639e-05
pepper,100,0.989279609705717,0.31919491488926494,0.04750976918822607,0.014488472138224105,0.04527281533997592,0.013247447693796233,0.04154208241646616,0.011993040917850924,0.8792994601498001,0.04271800742133003,0.04063329918490255,0.037349233243967384
rain,100,3.004195051327079,1.1258669916400161,0.006530053071638625,0.004625324590546481,0.006661415794010342,0.00257214335608899,0.0005364855693825977,0.0007021698531535919,0.9851085494240661,0.0022599837659138984,0.0024680467384719336,0.00016342007154803595
salt,100,7.885348340954197,0.9422338680726163,0.08022381859815557,0.018266845542231732,0.0787473256882996,0.016725741732925476,0.07421669987010121,0.017207004218670423,0.9704201192852716,0.0101623735433602,0.009986537777429482,0.009430969393938629
shot,100,3.4781481227466395,1.0359437293903142,0.03939845580728257,0.016519197603251774,0.028009185235621476,0.010676199975348714,0.015888376179429255,0.003705931938806866,0.9759526511260109,0.011337444464569942,0.008050507013421472,0.004659397395997548
zoom,100,3.67066792600434,1.064062221326487,0.0035564908869004557,0.0014408450100038368,0.003057388762748121,0.0016317558796933047,0.00019235781017067451,0.0002658733867205633,0.9981531507234587,0.0009654671187185857,0.000833090866648838,4.829129117375083e-05
